time_s,measured_position_m,kalman_position_m,kalman_velocity_m_per_s,kalman_acceleration_m_per_s2,moving_average_m
0.000000,1.024377,1.024377,0.000000,0.000000,1.024377
0.020000,0.928721,0.974586,-0.196320,-0.001963,1.015681
0.040000,1.083716,1.016611,0.217120,0.007913,1.021075
0.060000,1.110525,1.055440,0.620746,0.023823,1.028907
0.080000,0.890637,0.999663,-0.199038,-0.024007,1.016749
0.100000,0.953826,0.979714,-0.379819,-0.038917,1.010335
0.120000,1.079347,1.011847,0.028409,0.008212,1.015332
0.140000,1.054781,1.027434,0.168569,0.030460,1.018096
0.160000,1.089536,1.050550,0.336397,0.066749,1.024020
0.180000,1.033276,1.049667,0.278610,0.049445,1.024829
0.200000,1.182352,1.093337,0.552353,0.155473,1.039190
0.220000,1.184543,1.127115,0.707005,0.232320,1.053751
0.240000,1.137762,1.140351,0.705677,0.228447,1.072755
0.260000,1.232659,1.174480,0.829640,0.325310,1.086295
0.280000,1.189721,1.190792,0.834159,0.323338,1.093495
0.300000,1.093257,1.180746,0.691321,0.146230,1.111915
0.320000,1.201020,1.196054,0.702167,0.157205,1.134387
0.340000,1.104169,1.186883,0.580089,-0.040889,1.136643
0.360000,1.260356,1.211709,0.650145,0.084403,1.155332
0.380000,1.195126,1.218528,0.618627,0.020106,1.164931
0.400000,1.193211,1.223134,0.577267,-0.066869,1.179471
0.420000,1.162246,1.219913,0.496158,-0.242678,1.177643
0.440000,1.323083,1.248635,0.593931,-0.006686,1.190237
0.460000,1.221318,1.252638,0.550630,-0.109011,1.197833
0.480000,1.207654,1.252419,0.486670,-0.258445,1.195560
0.500000,1.221829,1.254051,0.436976,-0.367412,1.198479
0.520000,1.300505,1.270262,0.471417,-0.264653,1.217320
0.540000,1.294916,1.282686,0.482986,-0.223226,1.225856
0.560000,1.306299,1.295091,0.493897,-0.185656,1.244231
0.580000,1.315186,1.306972,0.501361,-0.158592,1.249216
0.600000,1.459332,1.345215,0.651697,0.208666,1.273234
0.620000,1.262607,1.339376,0.554117,-0.031326,1.279543
0.640000,1.261101,1.332876,0.460048,-0.248214,1.288530
0.660000,1.243778,1.322818,0.354311,-0.478088,1.281320
0.680000,1.364798,1.336600,0.379863,-0.399450,1.294364
0.700000,1.412318,1.357244,0.438697,-0.252638,1.312970
0.720000,1.319204,1.357051,0.388994,-0.348823,1.321822
0.740000,1.267267,1.346364,0.291446,-0.540052,1.318801
0.760000,1.274522,1.337611,0.210635,-0.684901,1.316947
0.780000,1.398367,1.352138,0.246590,-0.584245,1.325316
0.800000,1.411460,1.366878,0.281205,-0.492286,1.334069
0.820000,1.400972,1.377538,0.294872,-0.446527,1.328763
0.840000,1.309639,1.370278,0.227195,-0.558559,1.333039
0.860000,1.386653,1.376798,0.225238,-0.541338,1.344453
0.880000,1.382455,1.381412,0.215352,-0.539614,1.357060
0.900000,1.395495,1.387290,0.211699,-0.526789,1.359850
0.920000,1.452434,1.401634,0.243801,-0.451675,1.363497
0.940000,1.405168,1.406214,0.233921,-0.453138,1.371312
0.960000,1.445993,1.416521,0.247876,-0.414109,1.387560
0.980000,1.401326,1.418182,0.226892,-0.435247,1.399087
1.000000,1.423130,1.422711,0.218491,-0.434750,1.401339
1.020000,1.454423,1.431257,0.226057,-0.408658,1.405244
1.040000,1.291108,1.413557,0.134890,-0.539475,1.395257
1.060000,1.385706,1.411554,0.107179,-0.565685,1.402172
1.080000,1.377090,1.408160,0.076211,-0.595607,1.401303
1.100000,1.366890,1.403313,0.042028,-0.628944,1.399888
1.120000,1.399109,1.403318,0.026960,-0.632607,1.400216
1.140000,1.543675,1.423646,0.082966,-0.533166,1.408511
1.160000,1.357614,1.415717,0.040137,-0.579013,1.404188
1.180000,1.506982,1.428932,0.070392,-0.520313,1.409732
1.200000,1.297370,1.412115,0.000410,-0.602626,1.400282
1.220000,1.407529,1.411401,-0.013591,-0.605277,1.398863
1.240000,1.449500,1.416115,-0.009411,-0.583440,1.398416
