time_s,true_position_m,measured_position_m,kalman_position_m,kalman_velocity_m_per_s,kalman_acceleration_m_per_s2,moving_average_m
0.000000,1.000000,1.024377,1.024377,0.000000,0.000000,1.024377
0.020000,1.011920,0.928721,0.975100,-0.144962,-0.001449,1.015681
0.040000,1.023680,1.083716,1.015571,0.165053,0.005908,1.021076
0.060000,1.035280,1.110525,1.051617,0.493171,0.018591,1.028907
0.080000,1.046720,0.890637,1.000980,-0.165948,-0.018353,1.016749
0.100000,1.058000,0.953826,0.982151,-0.330805,-0.031080,1.010335
0.120000,1.069120,1.079347,1.011681,0.025559,0.006284,1.015333
0.140000,1.080080,1.054781,1.026562,0.155807,0.024517,1.018097
0.160000,1.090880,1.089536,1.049030,0.316697,0.054379,1.024020
0.180000,1.101520,1.033276,1.048575,0.265977,0.041671,1.024829
0.200000,1.112000,1.182352,1.091427,0.531198,0.126223,1.039190
0.220000,1.122320,1.184543,1.124939,0.683835,0.188010,1.053751
0.240000,1.132480,1.137762,1.138419,0.686146,0.187255,1.072755
0.260000,1.142480,1.232659,1.172377,0.807947,0.264057,1.086295
0.280000,1.152320,1.189721,1.188860,0.814746,0.265265,1.093495
0.300000,1.162000,1.093257,1.179459,0.681333,0.132596,1.111915
0.320000,1.171520,1.201020,1.194864,0.693160,0.142929,1.134387
0.340000,1.180880,1.104169,1.186354,0.580972,-0.006643,1.136643
0.360000,1.190080,1.260356,1.210952,0.646659,0.090246,1.155332
0.380000,1.199120,1.195126,1.218061,0.619029,0.042095,1.164931
0.400000,1.208000,1.193211,1.223042,0.582597,-0.024488,1.179471
0.420000,1.216720,1.162246,1.220508,0.510587,-0.161754,1.177643
0.440000,1.225280,1.323083,1.248551,0.597884,0.022231,1.190237
0.460000,1.233680,1.221318,1.253004,0.560040,-0.059105,1.197833
0.480000,1.241920,1.207654,1.253429,0.503630,-0.180364,1.195560
0.500000,1.250000,1.221829,1.255572,0.459295,-0.271905,1.198479
0.520000,1.257920,1.300505,1.271474,0.488936,-0.191853,1.217320
0.540000,1.265680,1.294916,1.283801,0.498536,-0.160930,1.225856
0.560000,1.273280,1.306299,1.296109,0.507628,-0.132526,1.244231
0.580000,1.280720,1.315186,1.307922,0.513727,-0.112376,1.249216
0.600000,1.288000,1.459332,1.344744,0.648766,0.201949,1.273234
0.620000,1.295120,1.262607,1.339882,0.560976,-0.006441,1.279543
0.640000,1.302080,1.261101,1.334235,0.474893,-0.199294,1.288530
0.660000,1.308880,1.243778,1.325037,0.376724,-0.407812,1.281320
