time_s,measured_position_m,true_position_m
0.000000,1.024377,1.000000
0.020000,0.928721,1.011920
0.040000,1.083716,1.023680
0.060000,1.110525,1.035280
0.080000,0.890637,1.046720
0.100000,0.953826,1.058000
0.120000,1.079347,1.069120
0.140000,1.054781,1.080080
0.160000,1.089536,1.090880
0.180000,1.033276,1.101520
0.200000,1.182352,1.112000
0.220000,1.184543,1.122320
0.240000,1.137762,1.132480
0.260000,1.232659,1.142480
0.280000,1.189721,1.152320
0.300000,1.093257,1.162000
0.320000,1.201020,1.171520
0.340000,1.104169,1.180880
0.360000,1.260356,1.190080
0.380000,1.195126,1.199120
0.400000,1.193211,1.208000
0.420000,1.162246,1.216720
0.440000,1.323083,1.225280
0.460000,1.221318,1.233680
0.480000,1.207654,1.241920
0.500000,1.221829,1.250000
0.520000,1.300505,1.257920
0.540000,1.294916,1.265680
0.560000,1.306299,1.273280
0.580000,1.315186,1.280720
0.600000,1.459332,1.288000
0.620000,1.262607,1.295120
0.640000,1.261101,1.302080
0.660000,1.243778,1.308880
0.680000,1.364798,1.315520
0.700000,1.412318,1.322000
0.720000,1.319204,1.328320
0.740000,1.267267,1.334480
0.760000,1.274522,1.340480
0.780000,1.398367,1.346320
0.800000,1.411460,1.352000
0.820000,1.400972,1.357520
0.840000,1.309639,1.362880
0.860000,1.386653,1.368080
0.880000,1.382455,1.373120
0.900000,1.395495,1.378000
0.920000,1.452434,1.382720
0.940000,1.405168,1.387280
0.960000,1.445993,1.391680
0.980000,1.401326,1.395920
1.000000,1.423130,1.400000
1.020000,1.454423,1.403920
1.040000,1.291108,1.407680
1.060000,1.385706,1.411280
1.080000,1.377090,1.414720
1.100000,1.366890,1.418000
1.120000,1.399109,1.421120
1.140000,1.543675,1.424080
1.160000,1.357614,1.426880
1.180000,1.506982,1.429520
1.200000,1.297370,1.432000
1.220000,1.407529,1.434320
1.240000,1.449500,1.436480
1.260000,1.485378,1.438480
1.280000,1.497218,1.440320
1.300000,1.505468,1.442000
1.320000,1.415622,1.443520
1.340000,1.407892,1.444880
1.360000,1.514718,1.446080
1.380000,1.431816,1.447120
1.400000,1.345945,1.448000
1.420000,1.358057,1.448720
1.440000,1.375724,1.449280
1.460000,1.489453,1.449680
1.480000,1.461314,1.449920
1.500000,1.505239,1.450000
1.520000,1.415740,1.449920
1.540000,1.462363,1.449680
1.560000,1.499327,1.449280
1.580000,1.423972,1.448720
1.600000,1.484542,1.448000
1.620000,1.394166,1.447120
1.640000,1.417036,1.446080
1.660000,1.414341,1.444880
1.680000,1.347853,1.443520
1.700000,1.480958,1.442000
1.720000,1.402768,1.440320
1.740000,1.439480,1.438480
1.760000,1.474940,1.436480
1.780000,1.470042,1.434320
1.800000,1.485231,1.432000
1.820000,1.421641,1.429520
1.840000,1.393016,1.426880
1.860000,1.417703,1.424080
1.880000,1.286133,1.421120
1.900000,1.302231,1.418000
1.920000,1.308904,1.414720
1.940000,1.331500,1.411280
1.960000,1.439662,1.407680
1.980000,1.331482,1.403920
2.000000,1.369747,1.400000
2.020000,1.499858,1.395920
2.040000,1.363179,1.391680
2.060000,1.446281,1.387280
2.080000,1.308031,1.382720
2.100000,1.361565,1.378000
2.120000,1.297118,1.373120
2.140000,1.340957,1.368080
2.160000,1.430105,1.362880
2.180000,1.219334,1.357520
2.200000,1.386754,1.352000
2.220000,1.365339,1.346320
2.240000,1.292948,1.340480
2.260000,1.218795,1.334480
2.280000,1.334090,1.328320
2.300000,1.279641,1.322000
2.320000,1.334134,1.315520
2.340000,1.310628,1.308880
2.360000,1.430222,1.302080
2.380000,1.275972,1.295120
2.400000,1.206120,1.288000
2.420000,1.295062,1.280720
2.440000,1.290880,1.273280
2.460000,1.374415,1.265680
2.480000,1.324729,1.257920
2.500000,1.278550,1.250000
2.520000,1.358984,1.241920
2.540000,1.138579,1.233680
2.560000,1.174100,1.225280
2.580000,1.142594,1.216720
2.600000,1.176815,1.208000
2.620000,1.088985,1.199120
2.640000,1.240892,1.190080
2.660000,1.163102,1.180880
2.680000,1.053855,1.171520
2.700000,1.080754,1.162000
2.720000,1.177401,1.152320
2.740000,1.209530,1.142480
2.760000,1.292218,1.132480
2.780000,1.355429,1.122320
2.800000,1.145153,1.112000
2.820000,1.022357,1.101520
2.840000,0.920316,1.090880
2.860000,1.101497,1.080080
2.880000,1.004085,1.069120
2.900000,1.024771,1.058000
2.920000,0.997752,1.046720
2.940000,1.024017,1.035280
2.960000,1.108958,1.023680
2.980000,1.024484,1.011920
3.000000,0.987309,1.000000
3.020000,0.905068,0.987920
3.040000,0.841705,0.975680
3.060000,0.924375,0.963280
3.080000,0.946417,0.950720
3.100000,1.079434,0.938000
3.120000,0.935542,0.925120
3.140000,0.990699,0.912080
3.160000,0.858936,0.898880
